Time,Channel B
(ms),(mV)

-0.93260571,239.61610000
-0.93228571,239.61610000
-0.93196571,239.61610000
-0.93164571,239.61610000
-0.93132571,239.61610000
-0.93100571,239.61610000
-0.93068571,239.61610000
-0.93036571,235.12990000
-0.93004571,239.61610000
-0.92972571,239.61610000
-0.92940571,239.61610000
-0.92908571,239.61610000
-0.92876571,239.61610000
-0.92844571,239.61610000
-0.92812571,239.61610000
-0.92780571,239.61610000
-0.92748571,239.61610000
-0.92716571,239.61610000
-0.92684571,239.61610000
-0.92652571,239.61610000
-0.92620571,239.61610000
-0.92588571,239.61610000
-0.92556571,239.61610000
-0.92524571,239.61610000
-0.92492571,239.61610000
-0.92460571,239.61610000
-0.92428571,239.61610000
-0.92396571,239.61610000
-0.92364571,239.61610000
-0.92332571,239.61610000
-0.92300571,239.61610000
-0.92268571,239.61610000
-0.92236571,239.61610000
-0.92204571,239.61610000
-0.92172571,239.61610000
-0.92140571,239.61610000
-0.92108571,239.61610000
-0.92076571,239.61610000
-0.92044571,239.61610000
-0.92012571,239.61610000
-0.91980571,239.61610000
-0.91948571,239.61610000
-0.91916571,239.61610000
-0.91884571,239.61610000
-0.91852571,239.61610000
-0.91820571,239.61610000
-0.91788571,239.61610000
-0.91756571,239.61610000
-0.91724571,239.61610000
-0.91692571,239.61610000
-0.91660571,239.61610000
-0.91628571,239.61610000
-0.91596571,239.61610000
-0.91564571,239.61610000
-0.91532571,239.61610000
-0.91500571,239.61610000
-0.91468571,239.61610000
-0.91436571,239.61610000
-0.91404571,239.61610000
-0.91372571,239.61610000
-0.91340571,239.61610000
-0.91308571,239.61610000
-0.91276571,239.61610000
-0.91244571,239.61610000
-0.91212571,239.61610000
-0.91180571,239.61610000
-0.91148571,239.61610000
-0.91116571,239.61610000
-0.91084571,239.61610000
-0.91052571,239.61610000
-0.91020571,239.61610000
-0.90988571,239.61610000
-0.90956571,239.61610000
-0.90924571,239.61610000
-0.90892571,239.61610000
-0.90860571,239.61610000
-0.90828571,239.61610000
-0.90796571,239.61610000
-0.90764571,239.61610000
-0.90732571,239.61610000
-0.90700571,239.61610000
-0.90668571,235.12990000
-0.90636571,239.61610000
-0.90604571,239.61610000
-0.90572571,239.61610000
-0.90540571,235.12990000
-0.90508571,235.12990000
-0.90476571,235.12990000
-0.90444571,235.12990000
-0.90412571,235.12990000
-0.90380571,235.12990000
-0.90348571,235.12990000
-0.90316571,235.12990000
-0.90284571,235.12990000
-0.90252571,235.12990000
-0.90220571,235.12990000
-0.90188571,235.12990000
-0.90156571,235.12990000
-0.90124571,235.12990000
-0.90092571,235.12990000
-0.90060571,235.12990000
-0.90028571,235.12990000
-0.89996571,235.12990000
-0.89964571,235.12990000
-0.89932571,235.12990000
-0.89900571,235.12990000
-0.89868571,230.65890000
-0.89836571,235.12990000
-0.89804571,230.65890000
-0.89772571,235.12990000
-0.89740571,230.65890000
-0.89708571,235.12990000
-0.89676571,230.65890000
-0.89644571,235.12990000
-0.89612571,235.12990000
-0.89580571,230.65890000
-0.89548571,230.65890000
-0.89516571,230.65890000
-0.89484571,230.65890000
-0.89452571,235.12990000
-0.89420571,230.65890000
-0.89388571,230.65890000
-0.89356571,230.65890000
-0.89324571,230.65890000
-0.89292571,230.65890000
-0.89260571,230.65890000
-0.89228571,235.12990000
-0.89196571,230.65890000
-0.89164571,230.65890000
-0.89132571,230.65890000
-0.89100571,230.65890000
-0.89068571,230.65890000
-0.89036571,230.65890000
-0.89004571,230.65890000
-0.88972571,230.65890000
-0.88940571,230.65890000
-0.88908571,230.65890000
-0.88876571,226.17270000
-0.88844571,226.17270000
-0.88812571,230.65890000
-0.88780571,226.17270000
-0.88748571,230.65890000
-0.88716571,226.17270000
-0.88684571,230.65890000
-0.88652571,226.17270000
-0.88620571,226.17270000
-0.88588571,226.17270000
-0.88556571,226.17270000
-0.88524571,226.17270000
-0.88492571,226.17270000
-0.88460571,226.17270000
-0.88428571,226.17270000
-0.88396571,226.17270000
-0.88364571,221.70170000
-0.88332571,226.17270000
-0.88300571,226.17270000
-0.88268571,221.70170000
-0.88236571,221.70170000
-0.88204571,221.70170000
-0.88172571,221.70170000
-0.88140571,221.70170000
-0.88108571,221.70170000
-0.88076571,221.70170000
-0.88044571,221.70170000
-0.88012571,221.70170000
-0.87980571,221.70170000
-0.87948571,221.70170000
-0.87916571,221.70170000
-0.87884571,221.70170000
-0.87852571,221.70170000
-0.87820571,221.70170000
-0.87788571,221.70170000
-0.87756571,221.70170000
-0.87724571,221.70170000
-0.87692571,221.70170000
-0.87660571,221.70170000
-0.87628571,221.70170000
-0.87596571,217.23070000
-0.87564571,217.23070000
