Time,Channel A,Channel B
(ms),(mV),(V)

-10.00397373,8.92666400,-0.98556480
-10.00141373,13.36711000,-0.98556480
-9.99885373,35.64562000,0.62776570
-9.99629373,71.27598000,0.98629720
-9.99373373,98.01019000,0.98629720
-9.99117373,124.72910000,1.00424200
-9.98861373,151.46330000,1.00424200
-9.98605373,169.27090000,1.00424200
-9.98349373,191.54940000,1.00424200
-9.98093373,204.90130000,1.00424200
-9.97837373,227.17980000,1.00424200
-9.97581373,236.09120000,1.00424200
-9.97325373,253.89870000,1.00424200
-9.97069373,262.81010000,1.00424200
-9.96813373,267.26580000,1.00424200
-9.96557373,280.63290000,1.00424200
-9.96301373,289.54430000,1.00424200
-9.96045373,298.44050000,1.00424200
-9.95789373,302.89620000,1.00424200
-9.95533373,307.35190000,1.00424200
-9.95277373,307.35190000,1.00424200
-9.95021373,316.26330000,1.00424200
-9.94765373,320.71900000,1.00424200
-9.94509373,325.17470000,1.00424200
-9.94253373,329.63040000,1.00424200
-9.93997373,329.63040000,1.00424200
-9.93741373,334.08610000,1.00424200
-9.93485373,334.08610000,1.00424200
-9.93229373,338.54180000,1.00424200
-9.92973373,338.54180000,1.00424200
-9.92717373,338.54180000,1.00424200
-9.92461373,342.98220000,1.00424200
-9.92205373,338.54180000,1.00424200
-9.91949373,342.98220000,1.00424200
-9.91693373,342.98220000,1.00424200
-9.91437373,347.43800000,1.00424200
-9.91181373,342.98220000,1.00424200
-9.90925373,342.98220000,1.00424200
-9.90669373,342.98220000,1.00424200
-9.90413373,342.98220000,1.00424200
-9.90157373,347.43800000,1.00424200
-9.89901373,347.43800000,1.00424200
-9.89645373,347.43800000,1.00424200
-9.89389373,342.98220000,1.00424200
-9.89133373,342.98220000,1.00424200
-9.88877373,342.98220000,1.00424200
-9.88621373,347.43800000,1.00424200
-9.88365373,342.98220000,1.00424200
-9.88109373,338.54180000,1.00424200
-9.87853373,342.98220000,1.00424200
-9.87597373,338.54180000,1.00424200
-9.87341373,342.98220000,1.00424200
-9.87085373,342.98220000,1.00424200
-9.86829373,338.54180000,1.00424200
-9.86573373,334.08610000,1.00424200
-9.86317373,338.54180000,1.00424200
-9.86061373,338.54180000,1.00424200
-9.85805373,334.08610000,1.00424200
-9.85549373,338.54180000,1.00424200
-9.85293373,329.63040000,1.00424200
-9.85037373,334.08610000,1.00424200
-9.84781373,334.08610000,1.00424200
-9.84525373,334.08610000,1.00424200
-9.84269373,334.08610000,1.00424200
-9.84013373,325.17470000,1.00424200
-9.83757373,325.17470000,1.00424200
-9.83501373,325.17470000,1.00424200
-9.83245373,325.17470000,1.00424200
-9.82989373,334.08610000,1.00424200
-9.82733373,329.63040000,1.00424200
-9.82477373,316.26330000,1.00424200
-9.82221373,316.26330000,1.00424200
-9.81965373,325.17470000,1.00424200
-9.81709373,329.63040000,1.00424200
-9.81453373,334.08610000,1.00424200
-9.81197373,311.80760000,1.00424200
-9.80941373,302.89620000,1.00424200
-9.80685373,311.80760000,1.00424200
-9.80429373,320.71900000,1.00424200
-9.80173373,320.71900000,1.00424200
-9.79917373,311.80760000,1.00424200
-9.79661373,298.44050000,1.00424200
-9.79405373,302.89620000,1.00424200
-9.79149373,316.26330000,1.00424200
-9.78893373,320.71900000,1.00424200
-9.78637373,307.35190000,1.00424200
-9.78381373,289.54430000,1.00424200
-9.78125373,298.44050000,1.00424200
-9.77869373,302.89620000,1.00424200
-9.77613373,307.35190000,1.00424200
-9.77357373,298.44050000,1.00424200
-9.77101373,280.63290000,1.00424200
-9.76845373,289.54430000,1.00424200
-9.76589373,298.44050000,1.00424200
-9.76333373,307.35190000,1.00424200
-9.76077373,289.54430000,1.00424200
-9.75821373,276.17720000,1.00424200
-9.75565373,280.63290000,1.00424200
-9.75309373,285.08870000,1.00424200
-9.75053373,298.44050000,1.00424200
-9.74797373,285.08870000,1.00424200
-9.74541373,271.72150000,1.00424200
-9.74285373,271.72150000,1.00424200
-9.74029373,285.08870000,1.00424200
-9.73773373,289.54430000,1.00424200
-9.73517373,285.08870000,1.00424200
-9.73261373,267.26580000,1.00424200
-9.73005373,262.81010000,1.00424200
-9.72749373,276.17720000,1.00424200
-9.72493373,285.08870000,1.00424200
-9.72237373,285.08870000,1.00424200
-9.71981373,262.81010000,1.00424200
-9.71725373,258.35440000,1.00424200
-9.71469373,262.81010000,1.00424200
-9.71213373,276.17720000,1.00424200
-9.70957373,276.17720000,1.00424200
-9.70701373,258.35440000,1.00424200
-9.70445373,253.89870000,1.00424200
-9.70189373,253.89870000,1.00424200
-9.69933373,267.26580000,1.00424200
-9.69677373,271.72150000,1.00424200
-9.69421373,267.26580000,1.00424200
-9.69165373,245.00260000,1.00424200
-9.68909373,245.00260000,1.00424200
-9.68653373,258.35440000,1.00424200
-9.68397373,262.81010000,1.00424200
-9.68141373,267.26580000,1.00424200
-9.67885373,253.89870000,1.00424200
-9.67629373,245.00260000,1.00424200
-9.67373373,245.00260000,1.00424200
-9.67117373,258.35440000,1.00424200
-9.66861373,262.81010000,1.00424200
-9.66605373,262.81010000,1.00424200
-9.66349373,245.00260000,1.00424200
-9.66093373,231.63550000,1.00424200
-9.65837373,245.00260000,1.00424200
-9.65581373,245.00260000,1.00424200
-9.65325373,253.89870000,1.00424200
-9.65069373,253.89870000,1.00424200
-9.64813373,245.00260000,1.00424200
-9.64557373,231.63550000,1.00424200
-9.64301373,236.09120000,1.00424200
-9.64045373,245.00260000,1.00424200
-9.63789373,245.00260000,1.00424200
-9.63533373,253.89870000,1.00424200
-9.63277373,236.09120000,1.00424200
-9.63021373,227.17980000,1.00424200
-9.62765373,227.17980000,1.00424200
-9.62509373,231.63550000,1.00424200
-9.62253373,240.54690000,1.00424200
-9.61997373,245.00260000,1.00424200
-9.61741373,236.09120000,1.00424200
-9.61485373,218.26840000,1.00424200
-9.61229373,222.72410000,1.00424200
-9.60973373,227.17980000,1.00424200
-9.60717373,236.09120000,1.00424200
-9.60461373,236.09120000,1.00424200
-9.60205373,231.63550000,1.00424200
-9.59949373,213.81270000,1.00424200
-9.59693373,213.81270000,1.00424200
-9.59437373,222.72410000,1.00424200
-9.59181373,222.72410000,1.00424200
-9.58925373,231.63550000,1.00424200
-9.58669373,227.17980000,1.00424200
-9.58413373,213.81270000,1.00424200
